id,difficulty,answer,clue,source_word,answer_length,explanation
1,easy,ALARM,a warning,FAMILIAR,5,ALARM from FAMILIAR. An alarm warns of danger.
2,easy,OCEAN,large body of water,EDUCATION,5,OCEAN from EDUCATION. An ocean is vast water.
3,easy,HERO,courageous person,TOGETHER,4,HERO from TOGETHER. A hero is brave.
4,easy,DUNE,a ridge of sand,SUDDENLY,4,DUNE from SUDDENLY. A dune is a sand mound.
5,easy,DATE,romantic meeting,ADEQUATE,4,DATE from ADEQUATE. A date is a meeting.
6,easy,FAIL,be unsuccessful,FANATICAL,4,FAIL from FANATICAL. To fail is to not succeed.
7,easy,STAR,a celestial body,RESTAURANT,4,STAR from RESTAURANT. A star shines at night.
8,easy,PEN,a writing device,TRAMPOLINE,3,PEN from TRAMPOLINE. A pen writes.
9,easy,CAT,a domestic animal,CALCULATOR,3,CAT from CALCULATOR. A cat is a pet.
10,easy,TINY,very small,DICTIONARY,4,TINY from DICTIONARY. Tiny means very small.
11,easy,POEM,a piece of verse,MICROSCOPE,4,POEM from MICROSCOPE. A poem is verse writing.
12,easy,PLAIN,a flat area of land,PLANTATION,5,PLAIN from PLANTATION. A plain is flat land.
13,easy,TRY,to attempt,TYPEWRITER,3,TRY from TYPEWRITER. To try is to attempt.
14,easy,IRE,anger,REFRIGERATOR,3,IRE from REFRIGERATOR. Ire means anger.
15,easy,CREEP,move slowly,APPEARANCE,5,CREEP from APPEARANCE. To creep is to move slowly.
16,easy,TRAP,a catching device,TRANSPARENT,4,TRAP from TRANSPARENT. A trap catches animals.
17,easy,AGE,maturity,EXAGGERATE,3,AGE from EXAGGERATE. Age is maturity.
18,easy,ELF,a mythical creature,WONDERFULLY,3,ELF from WONDERFULLY. An elf is mythical.
19,easy,PEN,a writing tool,INDEPENDENT,3,PEN from INDEPENDENT. A pen writes.
20,easy,LAKE,a body of water,MARKETPLACE,4,LAKE from MARKETPLACE. A lake holds water.
21,easy,THUD,a heavy sound,THUNDERSTORM,4,THUD from THUNDERSTORM. A thud is a heavy noise.
22,easy,NATION,a country,INFORMATION,6,NATION from INFORMATION. A nation is a country.
23,easy,COT,a baby bed,COUNTRYSIDE,3,COT from COUNTRYSIDE. A cot is for babies.
24,easy,MAT,a small rug,MATHEMATICS,3,MAT from MATHEMATICS. A mat covers the floor.
25,easy,DRUM,a percussion instrument,DESTRUCTION,4,DRUM from DESTRUCTION. A drum is an instrument.
26,easy,ROSE,a flower,RESPONSIBLE,4,ROSE from RESPONSIBLE. A rose is a flower.
27,easy,SOAK,to absorb liquid,SKATEBOARD,4,SOAK from SKATEBOARD. To soak is to absorb.
28,easy,LAMB,a young sheep,COMFORTABLE,4,LAMB from COMFORTABLE. A lamb is a baby sheep.
29,easy,CLIP,a fastener,COMPLICATED,4,CLIP from COMPLICATED. A clip holds things.
30,easy,TABLE,a piece of furniture,COMFORTABLE,5,TABLE from COMFORTABLE. A table is furniture.
