id,difficulty,answer,clue,prompt,start_letters,explanation
1,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
2,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
3,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
4,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
5,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
6,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
7,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
8,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
9,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
10,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
11,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
12,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
13,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
14,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
15,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
16,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
17,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
18,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
19,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
20,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
21,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
22,easy,USELESS,not needed or of no use,SUPERFLUOUS,7,USELESS from SUPERFLUOUS. Both mean unnecessary.
23,easy,NEXT,coming after,SUBSEQUENT,4,NEXT from SUBSEQUENT. Both mean following in order.
24,easy,LENGTHEN,to make longer,PROLONG,8,LENGTHEN from PROLONG. Both mean to extend.
25,easy,OCCASIONALLY,from time to time,SOMETIMES,12,OCCASIONALLY from SOMETIMES. Both mean not always.
26,easy,MOTION,to gesture or signal,GESTICULATE,6,MOTION from GESTICULATE. Both relate to movement or signalling.
27,easy,PROTECTOR,a defender or guard,DEFENDER,9,PROTECTOR from DEFENDER. Both mean one who keeps safe.
