id,type,difficulty,prompt,answer,unit,explanation
1,arithmetic,low,51 + 6 =,57,,Add 51 and 6.
2,arithmetic,low,60 + 3 =,63,,Add 60 and 3.
3,arithmetic,low,19 + 19 =,38,,Add 19 and 19.
4,arithmetic,low,22 + 13 =,35,,Add 22 and 13.
5,arithmetic,low,84 + 3 =,87,,Add 84 and 3.
6,arithmetic,low,74 + 8 =,82,,Add 74 and 8.
7,arithmetic,low,14 + 4 =,18,,Add 14 and 4.
8,arithmetic,low,65 + 15 =,80,,Add 65 and 15.
9,arithmetic,low,18 + 9 =,27,,Add 18 and 9.
10,arithmetic,low,21 + 19 =,40,,Add 21 and 19.
11,arithmetic,low,64 + 3 =,67,,Add 64 and 3.
12,arithmetic,low,82 + 5 =,87,,Add 82 and 5.
13,arithmetic,low,38 + 20 =,58,,Add 38 and 20.
14,arithmetic,low,17 + 20 =,37,,Add 17 and 20.
15,arithmetic,low,84 + 14 =,98,,Add 84 and 14.
16,arithmetic,low,16 + 9 =,25,,Add 16 and 9.
17,arithmetic,low,15 + 19 =,34,,Add 15 and 19.
18,arithmetic,low,27 + 11 =,38,,Add 27 and 11.
19,arithmetic,low,63 + 6 =,69,,Add 63 and 6.
20,arithmetic,low,79 + 5 =,84,,Add 79 and 5.
21,arithmetic,low,83 + 11 =,94,,Add 83 and 11.
22,arithmetic,low,81 + 7 =,88,,Add 81 and 7.
23,arithmetic,low,23 + 20 =,43,,Add 23 and 20.
24,arithmetic,low,83 + 8 =,91,,Add 83 and 8.
25,arithmetic,low,57 + 5 =,62,,Add 57 and 5.
26,arithmetic,low,80 + 4 =,84,,Add 80 and 4.
27,arithmetic,low,82 + 3 =,85,,Add 82 and 3.
28,arithmetic,low,89 + 8 =,97,,Add 89 and 8.
29,arithmetic,low,73 + 19 =,92,,Add 73 and 19.
30,arithmetic,low,64 + 12 =,76,,Add 64 and 12.
31,arithmetic,low,69 + 20 =,89,,Add 69 and 20.
32,arithmetic,low,68 + 13 =,81,,Add 68 and 13.
33,arithmetic,low,48 + 9 =,57,,Add 48 and 9.
34,arithmetic,low,33 + 9 =,42,,Add 33 and 9.
35,arithmetic,low,20 + 20 =,40,,Add 20 and 20.
36,arithmetic,low,48 + 18 =,66,,Add 48 and 18.
37,arithmetic,low,73 + 12 =,85,,Add 73 and 12.
38,arithmetic,low,67 + 11 =,78,,Add 67 and 11.
39,arithmetic,low,87 + 4 =,91,,Add 87 and 4.
40,arithmetic,low,25 + 18 =,43,,Add 25 and 18.
41,arithmetic,low,63 + 7 =,70,,Add 63 and 7.
42,arithmetic,low,53 + 6 =,59,,Add 53 and 6.
43,arithmetic,low,72 + 15 =,87,,Add 72 and 15.
44,arithmetic,low,15 + 4 =,19,,Add 15 and 4.
45,arithmetic,low,81 + 20 =,101,,Add 81 and 20.
46,arithmetic,low,50 + 12 =,62,,Add 50 and 12.
47,arithmetic,low,98 + 13 =,111,,Add 98 and 13.
48,arithmetic,low,86 + 17 =,103,,Add 86 and 17.
49,arithmetic,low,84 + 16 =,100,,Add 84 and 16.
50,arithmetic,low,18 + 4 =,22,,Add 18 and 4.
51,arithmetic,low,64 - 17 =,47,,Subtract 17 from 64.
52,arithmetic,low,119 - 23 =,96,,Subtract 23 from 119.
53,arithmetic,low,38 - 3 =,35,,Subtract 3 from 38.
54,arithmetic,low,119 - 11 =,108,,Subtract 11 from 119.
55,arithmetic,low,112 - 20 =,92,,Subtract 20 from 112.
56,arithmetic,low,117 - 16 =,101,,Subtract 16 from 117.
57,arithmetic,low,66 - 24 =,42,,Subtract 24 from 66.
58,arithmetic,low,79 - 23 =,56,,Subtract 23 from 79.
59,arithmetic,low,74 - 2 =,72,,Subtract 2 from 74.
60,arithmetic,low,89 - 13 =,76,,Subtract 13 from 89.
61,arithmetic,low,51 - 21 =,30,,Subtract 21 from 51.
62,arithmetic,low,44 - 17 =,27,,Subtract 17 from 44.
63,arithmetic,low,37 - 8 =,29,,Subtract 8 from 37.
64,arithmetic,low,66 - 6 =,60,,Subtract 6 from 66.
65,arithmetic,low,61 - 14 =,47,,Subtract 14 from 61.
66,arithmetic,low,80 - 17 =,63,,Subtract 17 from 80.
67,arithmetic,low,40 - 7 =,33,,Subtract 7 from 40.
68,arithmetic,low,87 - 14 =,73,,Subtract 14 from 87.
69,arithmetic,low,100 - 10 =,90,,Subtract 10 from 100.
70,arithmetic,low,47 - 15 =,32,,Subtract 15 from 47.
71,arithmetic,low,100 - 10 =,90,,Subtract 10 from 100.
72,arithmetic,low,120 - 15 =,105,,Subtract 15 from 120.
73,arithmetic,low,75 - 23 =,52,,Subtract 23 from 75.
74,arithmetic,low,78 - 9 =,69,,Subtract 9 from 78.
75,arithmetic,low,49 - 4 =,45,,Subtract 4 from 49.
76,arithmetic,low,52 - 6 =,46,,Subtract 6 from 52.
77,arithmetic,low,59 - 23 =,36,,Subtract 23 from 59.
78,arithmetic,low,59 - 2 =,57,,Subtract 2 from 59.
79,arithmetic,low,92 - 20 =,72,,Subtract 20 from 92.
80,arithmetic,low,53 - 10 =,43,,Subtract 10 from 53.
81,arithmetic,low,66 - 2 =,64,,Subtract 2 from 66.
82,arithmetic,low,48 - 15 =,33,,Subtract 15 from 48.
83,arithmetic,low,98 - 13 =,85,,Subtract 13 from 98.
84,arithmetic,low,108 - 20 =,88,,Subtract 20 from 108.
85,arithmetic,low,70 - 6 =,64,,Subtract 6 from 70.
86,arithmetic,low,118 - 18 =,100,,Subtract 18 from 118.
87,arithmetic,low,109 - 22 =,87,,Subtract 22 from 109.
88,arithmetic,low,116 - 25 =,91,,Subtract 25 from 116.
89,arithmetic,low,36 - 16 =,20,,Subtract 16 from 36.
90,arithmetic,low,117 - 19 =,98,,Subtract 19 from 117.
91,multiplication,low,8 × 8 =,64,,8 times 8.
92,multiplication,low,8 × 8 =,64,,8 times 8.
93,multiplication,low,3 × 9 =,27,,3 times 9.
94,multiplication,low,12 × 8 =,96,,12 times 8.
95,multiplication,low,2 × 5 =,10,,2 times 5.
96,multiplication,low,3 × 5 =,15,,3 times 5.
97,multiplication,low,9 × 4 =,36,,9 times 4.
98,multiplication,low,3 × 7 =,21,,3 times 7.
99,multiplication,low,11 × 2 =,22,,11 times 2.
100,multiplication,low,3 × 2 =,6,,3 times 2.
101,multiplication,low,11 × 4 =,44,,11 times 4.
102,multiplication,low,10 × 3 =,30,,10 times 3.
103,multiplication,low,7 × 11 =,77,,7 times 11.
104,multiplication,low,2 × 3 =,6,,2 times 3.
105,multiplication,low,5 × 11 =,55,,5 times 11.
106,multiplication,low,8 × 4 =,32,,8 times 4.
107,multiplication,low,12 × 6 =,72,,12 times 6.
108,multiplication,low,7 × 11 =,77,,7 times 11.
109,multiplication,low,7 × 9 =,63,,7 times 9.
110,multiplication,low,3 × 3 =,9,,3 times 3.
111,multiplication,low,9 × 9 =,81,,9 times 9.
112,multiplication,low,9 × 9 =,81,,9 times 9.
113,multiplication,low,6 × 3 =,18,,6 times 3.
114,multiplication,low,4 × 3 =,12,,4 times 3.
115,multiplication,low,7 × 6 =,42,,7 times 6.
116,multiplication,low,9 × 4 =,36,,9 times 4.
117,multiplication,low,10 × 2 =,20,,10 times 2.
118,multiplication,low,5 × 10 =,50,,5 times 10.
119,multiplication,low,7 × 4 =,28,,7 times 4.
120,multiplication,low,10 × 2 =,20,,10 times 2.
121,percentage,low,What is 25% of 240?,60,,Find 25% of 240.
122,percentage,low,What is 10% of 200?,20,,Find 10% of 200.
123,percentage,low,What is 25% of 200?,50,,Find 25% of 200.
124,percentage,low,What is 25% of 160?,40,,Find 25% of 160.
125,percentage,low,What is 25% of 60?,15,,Find 25% of 60.
126,percentage,low,What is 20% of 240?,48,,Find 20% of 240.
127,percentage,low,What is 25% of 160?,40,,Find 25% of 160.
128,percentage,low,What is 20% of 200?,40,,Find 20% of 200.
129,percentage,low,What is 20% of 160?,32,,Find 20% of 160.
130,percentage,low,What is 20% of 240?,48,,Find 20% of 240.
131,percentage,low,What is 50% of 240?,120,,Find 50% of 240.
132,percentage,low,What is 20% of 200?,40,,Find 20% of 200.
133,percentage,low,What is 50% of 60?,30,,Find 50% of 60.
134,percentage,low,What is 10% of 80?,8,,Find 10% of 80.
135,percentage,low,What is 25% of 40?,10,,Find 25% of 40.
136,percentage,low,What is 25% of 120?,30,,Find 25% of 120.
137,percentage,low,What is 25% of 60?,15,,Find 25% of 60.
138,percentage,low,What is 25% of 120?,30,,Find 25% of 120.
139,percentage,low,What is 10% of 80?,8,,Find 10% of 80.
140,percentage,low,What is 10% of 60?,6,,Find 10% of 60.
141,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 36 cherry trees, how many apple trees are there?",63,trees,"1 part = cherries ÷ 4, then multiply by 7."
142,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 52 cherry trees, how many apple trees are there?",91,trees,"1 part = cherries ÷ 4, then multiply by 7."
143,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 36 cherry trees, how many apple trees are there?",63,trees,"1 part = cherries ÷ 4, then multiply by 7."
144,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 44 cherry trees, how many apple trees are there?",77,trees,"1 part = cherries ÷ 4, then multiply by 7."
145,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 36 cherry trees, how many apple trees are there?",63,trees,"1 part = cherries ÷ 4, then multiply by 7."
146,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 52 cherry trees, how many apple trees are there?",91,trees,"1 part = cherries ÷ 4, then multiply by 7."
147,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 60 cherry trees, how many apple trees are there?",105,trees,"1 part = cherries ÷ 4, then multiply by 7."
148,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 60 cherry trees, how many apple trees are there?",105,trees,"1 part = cherries ÷ 4, then multiply by 7."
149,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 24 cherry trees, how many apple trees are there?",42,trees,"1 part = cherries ÷ 4, then multiply by 7."
150,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 52 cherry trees, how many apple trees are there?",91,trees,"1 part = cherries ÷ 4, then multiply by 7."
151,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 44 cherry trees, how many apple trees are there?",77,trees,"1 part = cherries ÷ 4, then multiply by 7."
152,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 28 cherry trees, how many apple trees are there?",49,trees,"1 part = cherries ÷ 4, then multiply by 7."
153,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 28 cherry trees, how many apple trees are there?",49,trees,"1 part = cherries ÷ 4, then multiply by 7."
154,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 48 cherry trees, how many apple trees are there?",84,trees,"1 part = cherries ÷ 4, then multiply by 7."
155,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 36 cherry trees, how many apple trees are there?",63,trees,"1 part = cherries ÷ 4, then multiply by 7."
156,ratio,medium,"Cherry trees to apple trees is 4:7. If there are 52 cherry trees, how many apple trees are there?",91,trees,"1 part = cherries ÷ 4, then multiply by 7."
